label	runs	min_ms	mean_ms	p95_ms	max_ms	exit
floor/fork-exec-true	20	1.055	1.562	2.156	2.652	0
floor/sh-noop	20	1.301	1.774	2.189	2.272	0
floor/bash-noop	20	1.936	2.517	3.423	3.439	0
floor/bash-norc-noop	20	1.756	2.215	2.713	2.746	0
floor/jq-startup	20	3.741	4.234	4.847	5.015	0
floor/yq-startup	20	2.688	3.553	4.658	4.765	0
floor/git-rev-parse	20	1.864	2.465	3.325	3.635	0
block-destructive/bash-benign	20	14.412	15.442	16.687	17.086	0
block-destructive/bash-mutating	20	13.679	15.994	18.107	23.444	0
block-destructive/bash-destructive	20	17.842	19.947	22.247	22.557	0
block-destructive/bash-blocked	20	25.067	33.033	38.069	38.750	2
block-destructive/bash-benign-utf8	20	13.565	15.367	16.766	16.927	0
team-role-guard/bash-benign	20	2.512	3.322	4.147	4.358	0
team-role-guard/bash-mutating+TEAM	20	8.320	9.918	11.519	11.958	2
mutation-logger/bash-benign	20	16.864	18.913	21.219	21.276	0
mutation-logger/bash-mutating	20	15.504	29.697	35.251	36.321	0
team-role-guard-write/write-grim	20	2.543	3.334	4.068	4.261	0
team-role-guard-write/write-grim+TEAM	20	13.064	14.513	16.340	16.779	2
team-role-guard-write/write-claude+TEAM	20	12.170	14.788	16.734	16.748	2
spiral-dispatch-guard/write-grim	20	6.851	9.025	10.621	12.315	0
zone-write-guard/write-grim	20	28.083	30.695	33.781	35.184	0
zone-write-guard/write-claude	20	17.681	22.342	24.828	25.576	2
zone-write-guard/edit-tests	20	30.547	37.979	42.089	43.099	0
adversarial-gate/write-grim	20	7.589	9.287	10.444	10.772	0
adversarial-gate/write-completed	20	20.339	29.670	33.104	34.123	2
write-mutation-logger/write-grim	20	22.438	25.404	26.898	27.014	0
write-mutation-logger/edit-tests	20	23.620	26.143	28.291	28.322	0
karpathy-diff/write-grim-fresh	20	41.600	61.206	69.170	70.638	0
karpathy-diff/write-grim-warn	20	71.801	80.565	84.460	91.500	0
karpathy-diff/edit-tests-warn	20	70.792	82.678	98.987	99.507	0
team-skill-guard/skill-implement	20	2.740	3.346	3.991	4.353	0
team-skill-guard/skill-implement+TEAM	20	7.995	9.209	10.570	11.210	0
spiral-skill-sentinel/skill-implement	20	7.324	8.546	9.522	9.776	0
run-mode-stop-guard/stop-idle	20	38.083	41.954	44.067	53.179	0
settings-cleanup/small	20	3.216	6.008	7.077	7.633	0
settings-cleanup/large	20	98.973	155.380	166.465	168.281	0
post-compact-reminder/no-marker	20	2.793	3.697	4.606	4.646	0
post-compact-reminder/marker	20	31.509	49.000	52.902	53.469	0
cleanup-context/no-context-dir	20	2.802	3.517	4.645	4.920	0
cleanup-context/full-archive	20	50.538	53.603	56.603	57.117	0
beads-health/--json	20	169.050	204.462	241.851	254.675	4
beads-health/--quick-json	20	44.402	59.327	69.118	71.038	4
check-updates/--notify	20	82.359	97.872	105.347	108.404	1
golden-path/source-only	20	66.254	97.029	106.358	107.522	0
