label	runs	min_ms	mean_ms	p95_ms	max_ms	exit
floor/fork-exec-true	20	0.934	1.471	2.203	2.291	0
floor/sh-noop	20	0.779	1.589	2.532	2.548	0
floor/bash-noop	20	0.914	1.874	2.587	2.885	0
floor/bash-norc-noop	20	0.797	1.745	3.148	3.149	0
floor/jq-startup	20	2.853	4.252	5.268	5.440	0
floor/yq-startup	20	4.227	5.854	7.524	7.676	0
floor/git-rev-parse	20	0.765	1.677	2.890	2.925	0
block-destructive/bash-benign	20	4.177	8.049	11.511	11.913	0
block-destructive/bash-mutating	20	7.384	9.551	11.591	11.617	0
block-destructive/bash-destructive	20	8.702	14.086	16.898	16.967	0
block-destructive/bash-blocked	20	14.182	29.346	37.037	37.670	2
block-destructive/bash-benign-utf8	20	7.363	10.325	11.954	12.181	0
team-role-guard/bash-benign	20	0.892	2.844	4.627	5.081	0
team-role-guard/bash-mutating+TEAM	20	4.365	6.690	9.289	9.342	2
mutation-logger/bash-benign	20	3.033	8.783	12.093	12.361	0
mutation-logger/bash-mutating	20	5.691	12.540	15.360	15.532	0
team-role-guard-write/write-grim	20	2.459	3.321	4.312	4.435	0
team-role-guard-write/write-grim+TEAM	20	5.506	8.636	14.317	14.784	2
team-role-guard-write/write-claude+TEAM	20	12.066	14.858	16.531	16.727	2
spiral-dispatch-guard/write-grim	20	1.097	1.835	3.153	4.451	0
zone-write-guard/write-grim	20	7.614	8.478	9.238	9.736	0
zone-write-guard/write-claude	20	7.503	11.083	20.572	20.723	2
zone-write-guard/edit-tests	20	7.868	17.995	21.970	22.079	0
adversarial-gate/write-grim	20	1.618	3.263	4.368	4.420	0
adversarial-gate/write-completed	20	14.450	23.326	38.597	38.795	2
write-mutation-logger/write-grim	20	6.972	9.524	11.631	12.375	0
write-mutation-logger/edit-tests	20	3.943	6.965	9.827	10.527	0
karpathy-diff/write-grim-fresh	20	14.308	21.169	24.602	25.964	0
karpathy-diff/write-grim-warn	20	12.141	22.065	24.472	25.753	0
karpathy-diff/edit-tests-warn	20	8.449	16.972	24.209	24.760	0
team-skill-guard/skill-implement	20	2.063	2.858	3.596	3.639	0
team-skill-guard/skill-implement+TEAM	20	6.917	8.576	10.085	10.154	0
spiral-skill-sentinel/skill-implement	20	2.868	3.605	4.087	5.221	0
run-mode-stop-guard/stop-idle	20	4.970	10.142	12.790	13.678	0
settings-cleanup/small	20	2.590	5.181	7.580	7.882	0
settings-cleanup/large	20	49.508	58.708	64.714	66.336	0
post-compact-reminder/no-marker	20	1.587	2.616	3.834	4.697	0
post-compact-reminder/marker	20	6.788	13.798	18.031	18.269	0
cleanup-context/no-context-dir	20	2.319	3.552	4.798	4.884	0
cleanup-context/full-archive	20	20.525	39.586	52.566	54.545	0
beads-health/--json	20	92.139	104.272	112.753	127.206	4
beads-health/--quick-json	20	16.506	41.065	50.628	52.511	4
check-updates/--notify	20	14.282	27.846	35.878	38.045	1
golden-path/source-only	20	34.186	50.082	56.164	56.341	0
