label	runs	min_ms	mean_ms	p95_ms	max_ms	exit
floor/fork-exec-true	20	0.904	1.389	1.990	2.322	0
floor/sh-noop	20	1.286	1.748	2.191	2.213	0
floor/bash-noop	20	1.058	1.616	2.054	2.892	0
floor/bash-norc-noop	20	0.845	1.499	2.574	2.833	0
floor/jq-startup	20	1.299	2.941	4.170	4.407	0
floor/yq-startup	20	2.035	3.735	6.694	7.088	0
floor/git-rev-parse	20	0.662	0.962	1.731	2.019	0
block-destructive/bash-benign	20	19.182	39.872	49.654	50.233	0
block-destructive/bash-mutating	20	36.165	44.380	51.870	53.823	0
block-destructive/bash-destructive	20	22.887	47.114	60.984	64.808	0
block-destructive/bash-blocked	20	20.334	36.186	42.813	42.957	2
block-destructive/bash-benign-utf8	20	18.471	43.994	51.630	53.448	0
team-role-guard/bash-benign	20	0.916	0.995	1.122	1.245	0
team-role-guard/bash-mutating+TEAM	20	26.808	34.667	40.025	41.550	2
mutation-logger/bash-benign	20	6.231	16.349	20.507	21.099	0
mutation-logger/bash-mutating	20	17.181	29.341	33.437	33.552	0
team-role-guard-write/write-grim	20	1.306	1.847	2.716	3.287	0
team-role-guard-write/write-grim+TEAM	20	9.457	17.642	20.835	20.997	2
team-role-guard-write/write-claude+TEAM	20	12.113	16.444	18.571	20.349	2
spiral-dispatch-guard/write-grim	20	6.683	10.102	11.681	11.700	0
zone-write-guard/write-grim	20	16.097	30.043	36.586	37.021	0
zone-write-guard/write-claude	20	15.117	26.876	31.323	31.629	2
zone-write-guard/edit-tests	20	18.415	34.769	46.336	46.786	0
adversarial-gate/write-grim	20	4.215	8.053	12.521	12.833	0
adversarial-gate/write-completed	20	18.006	36.483	45.566	45.772	2
write-mutation-logger/write-grim	20	11.115	19.377	26.840	28.083	0
write-mutation-logger/edit-tests	20	10.491	21.802	25.694	26.073	0
karpathy-diff/write-grim-fresh	20	30.106	54.562	63.303	66.296	0
karpathy-diff/write-grim-warn	20	30.458	62.455	74.929	75.035	0
karpathy-diff/edit-tests-warn	20	34.072	65.756	79.528	80.598	0
team-skill-guard/skill-implement	20	1.168	2.117	3.089	3.382	0
team-skill-guard/skill-implement+TEAM	20	3.564	7.887	11.855	12.048	0
spiral-skill-sentinel/skill-implement	20	7.322	10.283	11.587	12.064	0
run-mode-stop-guard/stop-idle	20	17.589	33.725	42.677	44.534	0
settings-cleanup/small	20	3.528	5.384	6.819	6.870	0
settings-cleanup/large	20	72.844	89.810	102.089	107.027	0
post-compact-reminder/no-marker	20	2.592	3.387	4.087	5.316	0
post-compact-reminder/marker	20	30.032	45.742	52.298	53.717	0
cleanup-context/no-context-dir	20	1.000	2.150	3.389	4.007	0
cleanup-context/full-archive	20	23.431	40.967	55.596	56.441	0
beads-health/--json	20	93.970	107.518	117.123	130.863	4
beads-health/--quick-json	20	23.408	50.078	66.297	68.791	4
check-updates/--notify	20	43.024	79.643	94.565	98.653	1
golden-path/source-only	20	55.579	85.633	102.186	103.009	0
